tournament_id,match_id,game_id,team1_id,team2_id,pistol1,pistol2,eco1_win,eco1_lose,eco2_win,eco2_lose,semi_eco1_win,semi_eco1_lose,semi_eco2_win,semi_eco2_lose,semi_buy1_win,semi_buy1_lose,semi_buy2_win,semi_buy2_lose,full_buy1_win,full_buy1_lose,full_buy2_win,full_buy2_lose
2004,314643,163409,2355,6961,1,1,1,2,1,2,1,0,0,3,1,2,3,1,10,4,4,7
2004,314642,163406,11058,2359,1,1,1,2,1,2,0,1,0,0,2,4,2,3,10,1,5,8
2004,314643,163408,2355,6961,1,1,2,2,1,2,0,0,0,0,1,3,3,4,10,3,4,7
2004,314644,163412,11058,7386,1,1,1,2,1,2,1,0,0,0,1,0,2,7,10,1,0,4
2004,314646,163417,188,2406,1,1,1,2,1,2,0,3,0,0,1,3,3,0,0,5,9,0
2004,314646,163418,188,2406,1,1,2,1,1,2,0,0,1,2,3,0,1,5,8,2,0,4
2004,314646,163419,188,2406,1,1,1,2,1,2,1,0,0,2,3,2,5,3,8,4,2,6
2004,314645,163415,2,6961,1,1,1,2,1,2,0,0,0,0,4,5,4,2,3,6,8,4
2004,314645,163414,2,6961,1,1,1,2,1,2,0,1,0,0,3,6,3,2,3,4,9,3
2004,314647,163420,1034,5248,2,0,2,0,0,4,0,1,0,0,3,5,1,1,1,7,12,1
2004,314647,163422,1034,5248,2,0,3,0,0,4,0,0,0,2,5,6,2,1,3,7,11,4
2004,314647,163421,1034,5248,1,1,1,2,1,2,2,0,0,1,3,2,4,1,10,10,9,12
2004,314648,163423,2355,120,1,1,1,2,1,2,0,0,0,1,1,0,1,4,11,5,5,6
2004,314648,163424,2355,120,1,1,1,2,1,2,2,2,1,0,3,3,3,2,5,6,8,7
2004,314650,163427,2,2406,0,2,0,4,2,0,0,0,0,0,6,0,6,9,7,5,1,4
2004,314651,163430,1034,120,1,1,1,2,1,2,0,2,0,0,2,4,3,1,4,5,9,4
2004,314650,163426,2,2406,1,1,2,1,1,3,0,0,0,0,3,1,1,5,8,3,3,5
2004,314651,163429,1034,120,0,2,1,3,2,0,1,1,0,1,1,1,2,2,5,8,9,5
2004,314648,163425,2355,120,2,0,2,0,0,4,0,2,0,1,3,0,1,1,8,6,7,7
2004,314652,163432,2355,2359,1,1,1,2,1,2,0,2,0,0,3,3,1,0,0,6,11,2
2004,314652,163433,2355,2359,0,2,1,3,2,0,1,0,0,1,1,0,4,5,11,9,6,8
2004,314653,163435,188,7386,1,1,1,2,1,2,0,0,0,1,3,3,5,5,10,7,6,6
2004,314653,163436,188,7386,2,0,2,0,0,4,0,0,0,1,3,3,4,4,8,6,5,4
2004,314652,163434,2355,2359,2,0,2,1,1,3,0,0,1,1,2,4,0,2,6,8,11,4
2004,337407,168972,188,11058,1,1,1,1,1,2,0,1,0,0,2,6,2,1,3,5,10,3
2004,314654,163439,11058,6961,0,2,0,4,2,0,0,1,0,0,1,2,4,1,3,6,7,3
2004,337407,168973,188,11058,1,1,1,3,1,2,0,0,0,0,3,4,3,2,9,8,11,9
2004,314654,163438,11058,6961,2,0,2,0,0,4,0,1,0,0,2,2,2,1,7,10,11,6
2004,337408,168975,120,6961,0,2,0,4,2,0,0,0,0,1,1,0,4,8,12,2,0,4
2004,337409,168978,2355,11058,0,2,0,4,2,0,0,0,0,0,2,4,3,1,3,5,8,4
2004,337408,168976,120,6961,1,1,1,2,1,2,0,0,0,0,1,0,3,6,11,2,0,5
2004,337409,168979,2355,11058,2,0,2,0,0,4,0,2,0,0,2,6,3,0,4,5,10,4
2004,337411,168984,11058,120,0,2,0,4,2,0,0,1,0,1,0,2,2,0,5,6,9,4
2004,337410,168981,2359,120,0,2,0,3,2,0,0,3,0,0,0,3,2,0,3,4,9,3
2004,337411,168985,11058,120,0,2,0,4,2,0,1,1,0,1,1,1,2,5,11,2,4,7
2004,337410,168982,2359,120,1,1,1,2,1,3,0,0,0,0,3,4,3,5,10,6,8,6
2004,337411,168986,11058,120,2,0,2,0,0,4,0,1,0,0,3,5,2,2,6,7,11,5
2004,337410,168983,2359,120,2,0,2,1,1,3,0,1,0,0,5,4,2,1,3,7,10,6
2004,337413,168992,2355,2359,1,1,1,2,1,2,0,0,0,3,1,0,4,2,11,4,1,6
2004,337413,168993,2355,2359,2,0,2,0,0,4,0,1,0,0,6,7,3,1,3,5,10,6
2004,337413,168994,2355,2359,0,2,0,4,2,0,1,2,0,0,0,1,4,4,7,6,7,4
2004,337414,168995,11058,2359,2,0,2,0,0,4,0,2,2,1,2,2,2,0,8,10,10,7
2004,337414,168997,11058,2359,2,0,2,0,0,4,0,1,0,1,5,6,5,2,5,7,9,5
2004,337414,168996,11058,2359,2,0,2,1,1,4,0,1,0,1,4,1,2,3,7,4,4,5
1998,318913,164095,7035,474,1,1,1,2,1,3,0,1,0,0,5,3,2,1,1,7,10,3
