tournament_id,match_id,game_id,map,pick,team1_id,team2_id,score1_ct,score1_t,score2_ct,score2_t,score1,score2,winner_id,loser_id,duration,game_url
2590,538576,232780,Ascent,13790,11328,13790,6,5,7,6,11,13,13790,11328,-,https://www.vlr.gg/538576/funplus-phoenix-vs-wolves-esports-china-evolution-series-act-3-cf/?game=232780
2590,538574,232774,Haven,,13576,13790,5,8,4,0,13,4,13576,13790,-,https://www.vlr.gg/538574/jdg-esports-vs-wolves-esports-china-evolution-series-act-3-sf/?game=232774
2590,538576,232781,Haven,11328,11328,13790,7,3,8,5,10,13,13790,11328,-,https://www.vlr.gg/538576/funplus-phoenix-vs-wolves-esports-china-evolution-series-act-3-cf/?game=232781
2590,538576,232782,Sunset,13790,11328,13790,3,7,4,9,10,13,13790,11328,-,https://www.vlr.gg/538576/funplus-phoenix-vs-wolves-esports-china-evolution-series-act-3-cf/?game=232782
2590,538575,232776,Haven,14137,14137,13576,5,1,6,7,6,13,13576,14137,-,https://www.vlr.gg/538575/titan-esports-club-vs-jdg-esports-china-evolution-series-act-3-gf/?game=232776
2590,538575,232775,Lotus,13576,14137,13576,6,5,7,6,11,13,13576,14137,-,https://www.vlr.gg/538575/titan-esports-club-vs-jdg-esports-china-evolution-series-act-3-gf/?game=232775
2501,509801,224713,Haven,2406,188,2406,6,7,5,0,13,5,188,2406,51:54,https://www.vlr.gg/509801/cloud9-vs-furia-vct-2025-americas-stage-2-w1/?game=224713
2501,509801,224714,Bind,188,188,2406,9,4,1,3,13,4,188,2406,39:12,https://www.vlr.gg/509801/cloud9-vs-furia-vct-2025-americas-stage-2-w1/?game=224714
2590,538575,232777,Ascent,13576,14137,13576,5,2,6,7,7,13,13576,14137,-,https://www.vlr.gg/538575/titan-esports-club-vs-jdg-esports-china-evolution-series-act-3-gf/?game=232777
2501,509802,224716,Bind,2359,2359,6961,5,8,3,7,13,10,2359,6961,52:51,https://www.vlr.gg/509802/leviat-n-vs-loud-vct-2025-americas-stage-2-w1/?game=224716
2501,509802,224717,Ascent,6961,2359,6961,7,3,8,5,10,13,6961,2359,48:25,https://www.vlr.gg/509802/leviat-n-vs-loud-vct-2025-americas-stage-2-w1/?game=224717
2501,509802,224718,Icebox,,2359,6961,7,4,8,5,11,13,6961,2359,54:22,https://www.vlr.gg/509802/leviat-n-vs-loud-vct-2025-americas-stage-2-w1/?game=224718
2501,509803,224720,Lotus,5248,5248,15072,6,7,5,6,13,11,5248,15072,57:27,https://www.vlr.gg/509803/evil-geniuses-vs-2game-esports-vct-2025-americas-stage-2-w1/?game=224720
2501,509803,224719,Sunset,15072,5248,15072,1,6,6,7,7,13,15072,5248,56:02,https://www.vlr.gg/509803/evil-geniuses-vs-2game-esports-vct-2025-americas-stage-2-w1/?game=224719
2501,509803,224721,Ascent,,5248,15072,8,5,7,2,13,9,5248,15072,49:23,https://www.vlr.gg/509803/evil-geniuses-vs-2game-esports-vct-2025-americas-stage-2-w1/?game=224721
2501,509804,224724,Haven,,7386,2355,4,5,5,8,9,13,2355,7386,47:42,https://www.vlr.gg/509804/mibr-vs-kr-esports-vct-2025-americas-stage-2-w1/?game=224724
2501,509804,224722,Corrode,2355,7386,2355,8,5,5,4,13,9,7386,2355,57:52,https://www.vlr.gg/509804/mibr-vs-kr-esports-vct-2025-americas-stage-2-w1/?game=224722
2501,509804,224723,Ascent,7386,7386,2355,0,1,11,2,1,13,2355,7386,30:42,https://www.vlr.gg/509804/mibr-vs-kr-esports-vct-2025-americas-stage-2-w1/?game=224723
2501,509805,224725,Bind,120,120,1034,9,4,7,3,13,10,120,1034,1:03:22,https://www.vlr.gg/509805/100-thieves-vs-nrg-vct-2025-americas-stage-2-w1/?game=224725
2501,509805,224726,Sunset,1034,120,1034,10,3,2,2,13,4,120,1034,32:59,https://www.vlr.gg/509805/100-thieves-vs-nrg-vct-2025-americas-stage-2-w1/?game=224726
2501,509806,224728,Corrode,2,2,11058,3,10,2,6,13,8,2,11058,55:23,https://www.vlr.gg/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?game=224728
2501,509806,224730,Lotus,,2,11058,8,4,8,4,14,12,2,11058,1:00:49,https://www.vlr.gg/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?game=224730
2501,509806,224729,Ascent,11058,2,11058,3,3,4,9,6,13,11058,2,48:11,https://www.vlr.gg/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?game=224729
2501,509807,224731,Ascent,15072,15072,11058,6,2,7,6,8,13,11058,15072,1:02:41,https://www.vlr.gg/509807/2game-esports-vs-g2-esports-vct-2025-americas-stage-2-w2/?game=224731
2501,509807,224732,Haven,11058,15072,11058,1,4,8,5,5,13,11058,15072,41:13,https://www.vlr.gg/509807/2game-esports-vs-g2-esports-vct-2025-americas-stage-2-w2/?game=224732
2501,509808,224734,Sunset,2,2406,2,2,2,10,3,4,13,2,2406,41:59,https://www.vlr.gg/509808/furia-vs-sentinels-vct-2025-americas-stage-2-w2/?game=224734
2501,509809,224737,Corrode,2355,120,2355,8,5,0,4,13,4,120,2355,45:15,https://www.vlr.gg/509809/100-thieves-vs-kr-esports-vct-2025-americas-stage-2-w2/?game=224737
