prize_pool,name,region,url,tournament_id
6726,Champions Tour Vietnam Stage 3: Challengers 2,mod-vn,https://www.vlr.gg/event/603/champions-tour-vietnam-stage-3-challengers-2,603
5340,Champions Tour Philippines Stage 3: Challengers 2,mod-ph,https://www.vlr.gg/event/580/champions-tour-philippines-stage-3-challengers-2,580
2885,Champions Tour Thailand Stage 3: Challengers 2,mod-th,https://www.vlr.gg/event/566/champions-tour-thailand-stage-3-challengers-2,566
0,Champions Tour Japan Stage 3: Challengers 2,mod-jp,https://www.vlr.gg/event/539/champions-tour-japan-stage-3-challengers-2,539
3511,Champions Tour Indonesia Stage 3: Challengers 1,mod-id,https://www.vlr.gg/event/555/champions-tour-indonesia-stage-3-challengers-1,555
2885,Champions Tour Thailand Stage 3: Challengers 1,mod-th,https://www.vlr.gg/event/564/champions-tour-thailand-stage-3-challengers-1,564
5000,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 1,mod-tw,https://www.vlr.gg/event/572/champions-tour-hong-kong-taiwan-stage-3-challengers-1,572
3060,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,mod-my,https://www.vlr.gg/event/565/champions-tour-malaysia-singapore-stage-3-challengers-1,565
5340,Champions Tour Philippines Stage 3: Challengers 1,mod-ph,https://www.vlr.gg/event/579/champions-tour-philippines-stage-3-challengers-1,579
0,Champions Tour Japan Stage 3: Challengers 1,mod-jp,https://www.vlr.gg/event/538/champions-tour-japan-stage-3-challengers-1,538
33000,Valorant Conquerors Championship,mod-un,https://www.vlr.gg/event/557/valorant-conquerors-championship,557
7588,Oceania Tour: Stage 03,mod-au,https://www.vlr.gg/event/594/oceania-tour-stage-03,594
9844,Champions Tour Brazil Stage 3: Challengers 1,mod-br,https://www.vlr.gg/event/533/champions-tour-brazil-stage-3-challengers-1,533
4500,Champions Tour LATAM Stage 3: Challengers 1,mod-un,https://www.vlr.gg/event/516/champions-tour-latam-stage-3-challengers-1,516
50000,Champions Tour North America Stage 3: Challengers 1,mod-us,https://www.vlr.gg/event/520/champions-tour-north-america-stage-3-challengers-1,520
42333,Champions Tour Europe Stage 3: Challengers 1,mod-eu,https://www.vlr.gg/event/541/champions-tour-europe-stage-3-challengers-1,541
6726,Champions Tour Vietnam Stage 3: Challengers 1,mod-vn,https://www.vlr.gg/event/600/champions-tour-vietnam-stage-3-challengers-1,600
4000,Strike Arabia Championship: Season 2,mod-un,https://www.vlr.gg/event/469/strike-arabia-championship-season-2,469
21771,Champions Tour Turkey Stage 3: Challengers 1,mod-tr,https://www.vlr.gg/event/542/champions-tour-turkey-stage-3-challengers-1,542
21771,Champions Tour CIS Stage 3: Challengers 1,mod-ru,https://www.vlr.gg/event/543/champions-tour-cis-stage-3-challengers-1,543
7638,Oceania Tour: Stage 02,mod-au,https://www.vlr.gg/event/403/oceania-tour-stage-02,403
600000,Valorant Champions Tour Stage 2: Masters Reykjavík,mod-is,https://www.vlr.gg/event/353/valorant-champions-tour-stage-2-masters-reykjav-k,353
3000,Strike Arabia League: Season 1,mod-un,https://www.vlr.gg/event/477/strike-arabia-league-season-1,477
20000,Champions Tour LATAM Stage 2: Challengers Finals,mod-mx,https://www.vlr.gg/event/398/champions-tour-latam-stage-2-challengers-finals,398
30386,Champions Tour Brazil Stage 2: Challengers Finals,mod-br,https://www.vlr.gg/event/366/champions-tour-brazil-stage-2-challengers-finals,366
100000,Champions Tour North America Stage 2: Challengers Finals,mod-us,https://www.vlr.gg/event/372/champions-tour-north-america-stage-2-challengers-finals,372
106306,Champions Tour Stage 2: EMEA Challengers Playoffs,mod-eu,https://www.vlr.gg/event/376/champions-tour-stage-2-emea-challengers-playoffs,376
50000,Champions Tour SEA Stage 2: Challengers Finals,mod-un,https://www.vlr.gg/event/429/champions-tour-sea-stage-2-challengers-finals,429
53226,Champions Tour Korea Stage 2: Challengers,mod-kr,https://www.vlr.gg/event/426/champions-tour-korea-stage-2-challengers,426
18418,Champions Tour Japan Stage 2: Challengers Finals,mod-jp,https://www.vlr.gg/event/441/champions-tour-japan-stage-2-challengers-finals,441
4000,Strike Arabia Championship: Season 1,mod-un,https://www.vlr.gg/event/423/strike-arabia-championship-season-1,423
30386,Champions Tour Brazil Stage 2: Challengers 3,mod-br,https://www.vlr.gg/event/365/champions-tour-brazil-stage-2-challengers-3,365
50000,Champions Tour North America Stage 2: Challengers 2,mod-us,https://www.vlr.gg/event/371/champions-tour-north-america-stage-2-challengers-2,371
4500,Champions Tour LATAM Stage 2: Challengers 2,mod-un,https://www.vlr.gg/event/397/champions-tour-latam-stage-2-challengers-2,397
4353,Champions Tour Indonesia Stage 2: Challengers 3,mod-id,https://www.vlr.gg/event/421/champions-tour-indonesia-stage-2-challengers-3,421
4354,Champions Tour Thailand Stage 2: Challengers 2,mod-th,https://www.vlr.gg/event/422/champions-tour-thailand-stage-2-challengers-2,422
23009,Champions Tour Vietnam Stage 2: Challengers,mod-vn,https://www.vlr.gg/event/395/champions-tour-vietnam-stage-2-challengers,395
4236,Champions Tour Philippines Stage 2: Challengers 3,mod-ph,https://www.vlr.gg/event/432/champions-tour-philippines-stage-2-challengers-3,432
10000,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 3,mod-tw,https://www.vlr.gg/event/452/champions-tour-hong-kong-taiwan-stage-2-challengers-3,452
0,Champions Tour Japan Stage 2: Challengers 2,mod-jp,https://www.vlr.gg/event/440/champions-tour-japan-stage-2-challengers-2,440
3116,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,mod-my,https://www.vlr.gg/event/399/champions-tour-malaysia-singapore-stage-2-challengers-3,399
8937,Champions Tour Brazil Stage 2: Challengers 2,mod-br,https://www.vlr.gg/event/364/champions-tour-brazil-stage-2-challengers-2,364
41607,Champions Tour Europe Stage 2: Challengers 2,mod-eu,https://www.vlr.gg/event/375/champions-tour-europe-stage-2-challengers-2,375
21261,Champions Tour Turkey Stage 2: Challengers 2,mod-tr,https://www.vlr.gg/event/392/champions-tour-turkey-stage-2-challengers-2,392
