tournament_id,match_id,team1_name,team2_name,score1,score2,winner_name,loser_name,sub_stage,stage,match_url
800,97220,SoaR,YFP,2.0,0.0,SoaR,YFP,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97220/soar-vs-yfp-gaming-champions-tour-north-america-stage-2-challengers-lr2
800,97221,Soniqs,Team Mystic,2.0,0.0,Soniqs,Team Mystic,Lower Round 2,Open Qualifier #2,https://www.vlr.gg/97221/soniqs-vs-team-mystic-champions-tour-north-america-stage-2-challengers-lr2
800,97225,SoaR,Soniqs,2.0,1.0,SoaR,Soniqs,Lower Round 3,Open Qualifier #2,https://www.vlr.gg/97225/soar-vs-soniqs-champions-tour-north-america-stage-2-challengers-lr3
800,97222,VIRTUOSO,Gen.G,0.0,2.0,Gen.G,VIRTUOSO,Lower Round 3,Open Qualifier #2,https://www.vlr.gg/97222/virtuoso-vs-gen-g-champions-tour-north-america-stage-2-challengers-lr3
800,97204,100 Thieves,Akrew,2.0,0.0,100 Thieves,Akrew,Upper Semifinals,Open Qualifier #2,https://www.vlr.gg/97204/100-thieves-vs-akrew-champions-tour-north-america-stage-2-challengers-ubsf
800,97224,Cosmic Divide,Sentinels,0.0,2.0,Sentinels,Cosmic Divide,Lower Round 3,Open Qualifier #2,https://www.vlr.gg/97224/cosmic-divide-vs-sentinels-champions-tour-north-america-stage-2-challengers-lr3
800,97223,Ghost Gaming,Complexity,2.0,0.0,Ghost Gaming,Complexity,Lower Round 3,Open Qualifier #2,https://www.vlr.gg/97223/ghost-gaming-vs-complexity-champions-tour-north-america-stage-2-challengers-lr3
800,97226,Built By Gamers Academy,Gen.G,2.0,0.0,Built By Gamers Academy,Gen.G,Lower Round 4,Open Qualifier #2,https://www.vlr.gg/97226/built-by-gamers-academy-vs-gen-g-champions-tour-north-america-stage-2-challengers-lr4
800,97205,Evil Geniuses,Knights,2.0,0.0,Evil Geniuses,Knights,Upper Semifinals,Open Qualifier #2,https://www.vlr.gg/97205/evil-geniuses-vs-knights-champions-tour-north-america-stage-2-challengers-ubsf
800,97229,Girl Kissers,SoaR,0.0,2.0,SoaR,Girl Kissers,Lower Round 4,Open Qualifier #2,https://www.vlr.gg/97229/girl-kissers-vs-soar-champions-tour-north-america-stage-2-challengers-lr4
800,97228,DarkZero Esports,Sentinels,0.0,2.0,Sentinels,DarkZero Esports,Lower Round 4,Open Qualifier #2,https://www.vlr.gg/97228/darkzero-esports-vs-sentinels-champions-tour-north-america-stage-2-challengers-lr4
800,97227,NYFU,Ghost Gaming,1.0,2.0,Ghost Gaming,NYFU,Lower Round 4,Open Qualifier #2,https://www.vlr.gg/97227/nyfu-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-lr4
800,97230,Built By Gamers Academy,Ghost Gaming,0.0,2.0,Ghost Gaming,Built By Gamers Academy,Lower Round 5,Open Qualifier #2,https://www.vlr.gg/97230/built-by-gamers-academy-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-lr5
800,97231,Sentinels,SoaR,2.0,0.0,Sentinels,SoaR,Lower Round 5,Open Qualifier #2,https://www.vlr.gg/97231/sentinels-vs-soar-champions-tour-north-america-stage-2-challengers-lr5
800,97232,Knights,Ghost Gaming,0.0,2.0,Ghost Gaming,Knights,Lower Round 6,Open Qualifier #2,https://www.vlr.gg/97232/knights-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-lr6
800,97233,Akrew,Sentinels,0.0,2.0,Sentinels,Akrew,Lower Round 6,Open Qualifier #2,https://www.vlr.gg/97233/akrew-vs-sentinels-champions-tour-north-america-stage-2-challengers-lr6
800,99686,The Guard,100 Thieves,0.0,2.0,100 Thieves,The Guard,Week 1,Group Stage,https://www.vlr.gg/99686/the-guard-vs-100-thieves-champions-tour-north-america-stage-2-challengers-w1
800,99687,Luminosity,Sentinels,2.0,1.0,Luminosity,Sentinels,Week 1,Group Stage,https://www.vlr.gg/99687/luminosity-vs-sentinels-champions-tour-north-america-stage-2-challengers-w1
800,99688,OpTic Gaming,FaZe Clan,2.0,0.0,OpTic Gaming,FaZe Clan,Week 1,Group Stage,https://www.vlr.gg/99688/optic-gaming-vs-faze-clan-champions-tour-north-america-stage-2-challengers-w1
800,99689,XSET,Ghost Gaming,2.0,0.0,XSET,Ghost Gaming,Week 1,Group Stage,https://www.vlr.gg/99689/xset-vs-ghost-gaming-champions-tour-north-america-stage-2-challengers-w1
800,99690,NRG,TSM,2.0,0.0,NRG,TSM,Week 1,Group Stage,https://www.vlr.gg/99690/nrg-esports-vs-tsm-champions-tour-north-america-stage-2-challengers-w1
800,99691,Cloud9,Evil Geniuses,2.0,0.0,Cloud9,Evil Geniuses,Week 1,Group Stage,https://www.vlr.gg/99691/cloud9-vs-evil-geniuses-champions-tour-north-america-stage-2-challengers-w1
800,99692,FaZe Clan,Luminosity,0.0,2.0,Luminosity,FaZe Clan,Week 2,Group Stage,https://www.vlr.gg/99692/faze-clan-vs-luminosity-champions-tour-north-america-stage-2-challengers-w2
800,99693,Ghost Gaming,The Guard,2.0,1.0,Ghost Gaming,The Guard,Week 2,Group Stage,https://www.vlr.gg/99693/ghost-gaming-vs-the-guard-champions-tour-north-america-stage-2-challengers-w2
800,99694,TSM,100 Thieves,2.0,0.0,TSM,100 Thieves,Week 2,Group Stage,https://www.vlr.gg/99694/tsm-vs-100-thieves-champions-tour-north-america-stage-2-challengers-w2
800,99695,Evil Geniuses,Sentinels,2.0,0.0,Evil Geniuses,Sentinels,Week 2,Group Stage,https://www.vlr.gg/99695/evil-geniuses-vs-sentinels-champions-tour-north-america-stage-2-challengers-w2
800,99696,OpTic Gaming,Cloud9,2.0,1.0,OpTic Gaming,Cloud9,Week 2,Group Stage,https://www.vlr.gg/99696/optic-gaming-vs-cloud9-champions-tour-north-america-stage-2-challengers-w2
800,99697,XSET,NRG,2.0,0.0,XSET,NRG,Week 2,Group Stage,https://www.vlr.gg/99697/xset-vs-nrg-esports-champions-tour-north-america-stage-2-challengers-w2
800,99704,The Guard,TSM,2.0,0.0,The Guard,TSM,Week 3,Group Stage,https://www.vlr.gg/99704/the-guard-vs-tsm-champions-tour-north-america-stage-2-challengers-w3
800,99705,Luminosity,Evil Geniuses,0.0,2.0,Evil Geniuses,Luminosity,Week 3,Group Stage,https://www.vlr.gg/99705/luminosity-vs-evil-geniuses-champions-tour-north-america-stage-2-challengers-w3
800,99706,Sentinels,OpTic Gaming,0.0,2.0,OpTic Gaming,Sentinels,Week 3,Group Stage,https://www.vlr.gg/99706/sentinels-vs-optic-gaming-champions-tour-north-america-stage-2-challengers-w3
800,99707,100 Thieves,XSET,2.0,0.0,100 Thieves,XSET,Week 3,Group Stage,https://www.vlr.gg/99707/100-thieves-vs-xset-champions-tour-north-america-stage-2-challengers-w3
800,99708,FaZe Clan,Cloud9,2.0,0.0,FaZe Clan,Cloud9,Week 3,Group Stage,https://www.vlr.gg/99708/faze-clan-vs-cloud9-champions-tour-north-america-stage-2-challengers-w3
800,99709,Ghost Gaming,NRG,2.0,0.0,Ghost Gaming,NRG,Week 3,Group Stage,https://www.vlr.gg/99709/ghost-gaming-vs-nrg-esports-champions-tour-north-america-stage-2-challengers-w3
800,99710,The Guard,XSET,1.0,2.0,XSET,The Guard,Week 4,Group Stage,https://www.vlr.gg/99710/the-guard-vs-xset-champions-tour-north-america-stage-2-challengers-w4
